csvTime,P2_51
2024-05-16 16:00:49,0
2024-05-16 16:01:49,0
2024-05-16 16:02:49,0
2024-05-16 16:03:49,0
2024-05-16 16:04:49,0
2024-05-16 16:05:49,0
2024-05-16 16:06:48,0
2024-05-16 16:07:49,0
2024-05-16 16:08:49,0
2024-05-16 16:09:49,0
2024-05-16 16:10:49,0
2024-05-16 16:11:49,0
2024-05-16 16:12:49,0
2024-05-16 16:13:49,0
2024-05-16 16:14:49,0
2024-05-16 16:15:49,0
2024-05-16 16:16:48,0
2024-05-16 16:17:49,0
2024-05-16 16:18:49,0
2024-05-16 16:19:48,0
2024-05-16 16:20:49,0
2024-05-16 16:21:49,0
2024-05-16 16:22:49,0
2024-05-16 16:23:49,0
2024-05-16 16:24:49,0
2024-05-16 16:25:48,0
2024-05-16 16:26:48,0
2024-05-16 16:27:49,0
2024-05-16 16:28:49,0
2024-05-16 16:29:49,0
2024-05-16 16:30:49,0
2024-05-16 16:31:48,0
2024-05-16 16:32:49,0
2024-05-16 16:33:49,0
2024-05-16 16:34:48,0
2024-05-16 16:35:49,0
2024-05-16 16:36:49,0
2024-05-16 16:37:49,0
2024-05-16 16:38:48,0
2024-05-16 16:39:49,0
2024-05-16 16:40:49,0
2024-05-16 16:41:49,0
2024-05-16 16:42:49,0
2024-05-16 16:43:48,0
2024-05-16 16:44:49,0
2024-05-16 16:45:49,0
2024-05-16 16:46:49,0
2024-05-16 16:47:49,0
2024-05-16 16:48:48,0
2024-05-16 16:49:49,0
2024-05-16 16:50:49,0
2024-05-16 16:51:49,0
2024-05-16 16:52:49,0
2024-05-16 16:53:49,0
2024-05-16 16:54:49,0
2024-05-16 16:55:49,0
2024-05-16 16:56:49,0
2024-05-16 16:57:49,0
2024-05-16 16:58:49,0
2024-05-16 16:59:49,0
2024-05-16 17:00:49,0
2024-05-16 17:01:49,0
2024-05-16 17:02:48,0
2024-05-16 17:03:49,0
2024-05-16 17:04:49,0
2024-05-16 17:05:49,0
2024-05-16 17:06:49,0
2024-05-16 17:07:49,0
2024-05-16 17:08:49,0
2024-05-16 17:09:49,0
2024-05-16 17:10:49,0
2024-05-16 17:11:49,0
2024-05-16 17:12:49,0
2024-05-16 17:13:49,0
2024-05-16 17:14:49,0
2024-05-16 17:15:49,0
2024-05-16 17:16:49,0
2024-05-16 17:17:49,0
2024-05-16 17:18:49,0
2024-05-16 17:19:49,0
2024-05-16 17:20:48,0
2024-05-16 17:21:49,0
2024-05-16 17:22:49,0
2024-05-16 17:23:49,0
2024-05-16 17:24:49,0
2024-05-16 17:25:49,0
2024-05-16 17:26:48,0
2024-05-16 17:27:49,0
2024-05-16 17:28:49,0
2024-05-16 17:29:49,0
2024-05-16 17:30:48,0
2024-05-16 17:31:48,0
2024-05-16 17:32:49,0
2024-05-16 17:33:49,0
2024-05-16 17:34:49,0
2024-05-16 17:35:49,0
2024-05-16 17:36:49,0
2024-05-16 17:37:49,0
2024-05-16 17:38:48,0
2024-05-16 17:39:49,0
2024-05-16 17:40:48,0
2024-05-16 17:41:49,0
2024-05-16 17:42:49,0
2024-05-16 17:43:48,0
2024-05-16 17:44:49,0
2024-05-16 17:45:49,0
2024-05-16 17:46:49,0
2024-05-16 17:47:49,0
2024-05-16 17:48:49,0
2024-05-16 17:49:49,0
2024-05-16 17:50:49,0
2024-05-16 17:51:49,0
2024-05-16 17:52:49,0
2024-05-16 17:53:49,0
2024-05-16 17:54:49,0
2024-05-16 17:55:49,0
2024-05-16 17:56:49,0
2024-05-16 17:57:49,0
2024-05-16 17:58:49,0
2024-05-16 17:59:49,0
2024-05-16 18:00:49,0
2024-05-16 18:01:49,0
2024-05-16 18:02:49,0
2024-05-16 18:03:49,0
2024-05-16 18:04:49,0
2024-05-16 18:05:49,0
2024-05-16 18:06:49,0
2024-05-16 18:07:49,0
2024-05-16 18:08:49,0
2024-05-16 18:09:48,0
2024-05-16 18:10:49,0
2024-05-16 18:11:49,0
2024-05-16 18:12:48,0
2024-05-16 18:13:49,0
2024-05-16 18:14:49,0
2024-05-16 18:15:49,0
2024-05-16 18:16:49,0
2024-05-16 18:17:49,0
2024-05-16 18:18:48,0
2024-05-16 18:19:49,0
2024-05-16 18:20:49,0
2024-05-16 18:21:49,0
2024-05-16 18:22:49,0
2024-05-16 18:23:49,0
2024-05-16 18:24:49,0
2024-05-16 18:25:49,0
2024-05-16 18:26:49,0
2024-05-16 18:27:49,0
2024-05-16 18:28:49,0
2024-05-16 18:29:49,0
2024-05-16 18:30:49,0
2024-05-16 18:31:48,0
2024-05-16 18:32:49,0
2024-05-16 18:33:48,0
2024-05-16 18:34:49,0
2024-05-16 18:35:48,0
2024-05-16 18:36:49,0
2024-05-16 18:37:49,0
2024-05-16 18:38:48,0
2024-05-16 18:39:49,0
2024-05-16 18:40:49,0
2024-05-16 18:41:49,0
2024-05-16 18:42:49,0
2024-05-16 18:43:49,0
2024-05-16 18:44:49,0
2024-05-16 18:45:49,0
2024-05-16 18:46:49,0
2024-05-16 18:47:49,0
2024-05-16 18:48:49,0
2024-05-16 18:49:49,0
2024-05-16 18:50:49,0
2024-05-16 18:51:48,0
2024-05-16 18:52:48,0
2024-05-16 18:53:49,0
2024-05-16 18:54:49,0
2024-05-16 18:55:49,0
2024-05-16 18:56:49,0
2024-05-16 18:57:49,0
2024-05-16 18:58:49,0
2024-05-16 18:59:49,0
2024-05-16 19:00:49,0
2024-05-16 19:01:49,0
2024-05-16 19:02:49,0
2024-05-16 19:03:49,0
2024-05-16 19:04:49,0
2024-05-16 19:05:49,0
2024-05-16 19:06:49,0
2024-05-16 19:07:49,0
2024-05-16 19:08:49,0
2024-05-16 19:09:48,0
2024-05-16 19:10:48,0
2024-05-16 19:11:49,0
2024-05-16 19:12:49,0
2024-05-16 19:13:49,0
2024-05-16 19:14:48,0
2024-05-16 19:15:48,0
2024-05-16 19:16:49,0
2024-05-16 19:17:49,0
2024-05-16 19:18:49,0
2024-05-16 19:19:48,0
2024-05-16 19:20:49,0
2024-05-16 19:21:49,0
2024-05-16 19:22:49,0
2024-05-16 19:23:48,0
2024-05-16 19:24:49,0
2024-05-16 19:25:48,0
2024-05-16 19:26:49,0
2024-05-16 19:27:49,0
2024-05-16 19:28:49,0
2024-05-16 19:29:49,0
2024-05-16 19:30:49,0
2024-05-16 19:31:48,0
2024-05-16 19:32:49,0
2024-05-16 19:33:49,0
2024-05-16 19:34:49,0
2024-05-16 19:35:48,0
2024-05-16 19:36:49,0
2024-05-16 19:37:48,0
2024-05-16 19:38:49,0
2024-05-16 19:39:49,0
2024-05-16 19:40:49,0
2024-05-16 19:41:48,0
2024-05-16 19:42:49,0
2024-05-16 19:43:49,0
2024-05-16 19:44:49,0
2024-05-16 19:45:49,0
2024-05-16 19:46:49,0
2024-05-16 19:47:49,0
2024-05-16 19:48:49,0
2024-05-16 19:49:49,0
2024-05-16 19:50:49,0
2024-05-16 19:51:49,0
2024-05-16 19:52:49,0
2024-05-16 19:53:49,0
2024-05-16 19:54:49,0
2024-05-16 19:55:49,0
2024-05-16 19:56:49,0
2024-05-16 19:57:49,0
2024-05-16 19:58:48,0
2024-05-16 19:59:49,0
2024-05-16 20:00:49,0
2024-05-16 20:01:49,0
2024-05-16 20:02:49,0
2024-05-16 20:03:49,0
2024-05-16 20:04:49,0
2024-05-16 20:05:48,0
2024-05-16 20:06:49,0
2024-05-16 20:07:49,0
2024-05-16 20:08:49,0
2024-05-16 20:09:49,0
2024-05-16 20:10:48,0
2024-05-16 20:11:49,0
2024-05-16 20:12:49,0
2024-05-16 20:13:49,0
2024-05-16 20:14:49,0
2024-05-16 20:15:49,0
2024-05-16 20:16:49,0
2024-05-16 20:17:49,0
2024-05-16 20:18:48,0
2024-05-16 20:19:49,0
2024-05-16 20:20:49,0
2024-05-16 20:21:49,0
2024-05-16 20:22:48,0
2024-05-16 20:23:49,0
2024-05-16 20:24:49,0
2024-05-16 20:25:49,0
2024-05-16 20:26:49,0
2024-05-16 20:27:49,0
2024-05-16 20:28:49,0
2024-05-16 20:29:49,0
2024-05-16 20:30:49,0
2024-05-16 20:31:49,0
2024-05-16 20:32:49,0
2024-05-16 20:33:48,0
2024-05-16 20:34:49,0
2024-05-16 20:35:49,0
2024-05-16 20:36:48,0
2024-05-16 20:37:48,0
2024-05-16 20:38:49,0
2024-05-16 20:39:49,0
2024-05-16 20:40:49,0
2024-05-16 20:41:49,0
2024-05-16 20:42:49,0
