csvTime,Ajia-0_v,Ajia-1_v,Ajia-3_v,Ajia-5_v,action_ajia,current_status_ajia,13-11-6_v,action_zhebidiaoche,current_status_zhebidiaoche,action_dp
2024-05-16 16:00,35.2907,35.2013,55.1627,56.285,False,False,6.0,False,False,False
2024-05-16 16:01,35.2907,35.2013,64.0603,64.3301,False,False,6.0,False,False,False
2024-05-16 16:02,30.0576,29.7445,89.0146,88.1905,False,上升值,,,,False
2024-05-16 16:03,10.3996,9.97466,88.2046,87.4312,False,False,6.0,False,False,False
2024-05-16 16:04,-10.3319,-10.7792,85.0707,84.4689,False,False,6.0,False,False,False
2024-05-16 16:05,-36.0058,-36.14,81.4086,80.7717,False,False,6.0,False,False,False
2024-05-16 16:06,-43.2517,-43.6766,89.4349,88.914,False,峰值,6.0,False,False,False
2024-05-16 16:07,-43.2294,-43.6543,55.2008,56.2523,False,稳定值,6.0,False,False,False
2024-05-16 16:08,-43.207,-43.6543,54.714,55.8283,False,False,6.0,False,False,False
2024-05-16 16:09,-43.2294,-43.6766,54.8505,56.691,False,False,5.0,False,False,False
2024-05-16 16:10,-43.207,-43.6766,54.8285,56.0361,False,False,6.0,False,False,False
2024-05-16 16:11,-43.207,-43.6543,54.8816,56.0184,False,False,6.0,False,False,False
2024-05-16 16:12,-43.2294,-43.6766,54.892,56.1682,False,False,6.0,False,False,False
2024-05-16 16:13,-21.4244,-21.335,105.955,104.778,False,上升值 峰值,6.0,False,False,False
2024-05-16 16:14,7.40279,7.40279,100.288,99.0513,False,False,6.0,False,False,False
2024-05-16 16:15,33.9713,34.3514,96.5015,95.5073,False,False,55.0,False,False,False
2024-05-16 16:16,35.0895,35.3802,75.0788,71.9013,False,False,19.0,False,False,False
2024-05-16 16:17,35.0671,35.3802,0.0,0.0,False,False,36.0,False,False,False
2024-05-16 16:18,35.0895,35.3802,0.0,0.0,False,False,33.0,False,False,OFF DP
2024-05-16 16:19,35.0895,35.3802,0.0,0.0,False,False,41.0,False,最后高电流值,False
2024-05-16 16:20,35.0895,35.3802,0.0,0.0,False,False,0.0,折臂吊车关机,False,False
2024-05-16 16:21,35.0895,35.3802,0.0,0.0,False,False,0.0,False,False,False
2024-05-16 16:22,35.0895,35.3802,0.0,0.0,False,False,0.0,False,False,False
2024-05-16 16:23,35.0895,35.3802,0.0,0.0,False,False,0.0,False,False,False
2024-05-16 16:24,35.0895,35.3802,0.0,0.0,False,False,0.0,False,False,False
2024-05-16 16:25,35.0895,35.3802,0.0,0.0,False,False,0.0,False,False,False
2024-05-16 16:26,35.0895,35.3802,0.0,0.0,False,False,0.0,False,False,False
2024-05-16 16:27,35.0895,35.3802,0.0,0.0,False,False,0.0,False,False,False
2024-05-16 16:28,35.0895,35.3802,0.0,0.0,False,False,0.0,False,False,False
2024-05-16 16:29,35.0895,35.3802,0.0,0.0,False,False,0.0,False,False,False
2024-05-16 16:30,35.0895,35.3802,0.0,0.0,False,False,0.0,False,False,False
2024-05-16 16:31,35.0895,35.3802,0.0,0.0,False,False,0.0,False,False,False
2024-05-16 16:32,35.0895,35.3802,0.0,0.0,False,False,0.0,False,False,False
2024-05-16 16:33,35.0895,35.3802,0.0,0.0,False,False,0.0,False,False,False
2024-05-16 16:34,35.0895,35.3802,0.0,0.0,False,False,0.0,False,False,False
2024-05-16 16:35,35.0895,35.3802,0.0,0.0,False,False,0.0,False,False,False
2024-05-16 16:36,35.0895,35.3802,0.0,0.0,False,False,0.0,False,False,False
2024-05-16 16:37,35.0895,35.3802,0.0,0.0,False,False,0.0,False,False,False
2024-05-16 16:38,35.1118,35.3802,0.0,0.0,False,False,0.0,False,False,False
