13-3-3_v,13-3-2_v,13-3-5_v,13-3-4_v,13-3-1_v,13-3-0_v,13-3-7_v,13-3-6_v,13-3-9_v,13-3-8_v,13-3-12_v,13-3-11_v,13-3-13_v,13-3-10_v,csvTime
9,6954,6,8,6947,6940,3,8,93,8,1867,13,0.0,5998,2024-05-16 16:00:31
9,6956,7,9,6949,6942,3,9,92,9,1512,8,0.0,5998,2024-05-16 16:01:31
9,6957,6,8,6950,6943,3,8,93,9,1706,12,0.0,5993,2024-05-16 16:02:31
11,6956,10,11,6949,6942,3,10,94,11,623,15,0.0,6001,2024-05-16 16:03:32
9,6953,6,8,6946,6939,3,8,93,9,1668,17,0.0,5985,2024-05-16 16:04:33
9,6952,6,8,6946,6939,3,8,93,9,1834,8,0.0,6001,2024-05-16 16:05:34
10,6951,9,9,6944,6937,3,9,93,9,759,16,0.0,5994,2024-05-16 16:06:35
9,6953,8,9,6947,6940,3,8,93,9,834,9,0.0,5998,2024-05-16 16:07:36
9,6951,7,8,6943,6936,3,8,93,9,1643,17,0.0,5939,2024-05-16 16:08:37
10,6954,10,10,6948,6941,3,10,93,11,375,15,0.0,6025,2024-05-16 16:09:38
9,6956,7,8,6950,6943,3,8,94,9,1762,15,0.0,6011,2024-05-16 16:10:38
9,6955,8,9,6949,6942,3,8,93,9,631,8,0.0,6014,2024-05-16 16:11:39
10,6954,9,10,6947,6940,3,9,94,10,440,15,0.0,6005,2024-05-16 16:12:39
9,6953,6,8,6946,6939,3,8,93,9,1745,10,0.0,6000,2024-05-16 16:13:40
9,6955,6,8,6947,6940,3,8,94,9,1934,16,0.0,6006,2024-05-16 16:14:40
9,6954,6,8,6947,6940,3,8,93,9,1674,5,0.0,6002,2024-05-16 16:15:40
9,6953,7,8,6946,6939,3,8,94,9,1704,16,0.0,6006,2024-05-16 16:16:41
33,6961,33,33,6954,6948,7,30,97,30,197,14,0.0,6009,2024-05-16 16:17:42
9,6975,8,9,6968,6962,3,7,91,8,1035,5,0.0,6009,2024-05-16 16:18:42
9,6979,6,8,6972,6964,3,8,94,9,1674,14,0.0,6013,2024-05-16 16:19:43
9,6977,6,8,6970,6963,3,8,94,9,1868,6,0.0,6008,2024-05-16 16:20:43
9,6978,6,8,6971,6965,3,8,94,9,1967,7,0.0,6004,2024-05-16 16:21:43
9,6976,6,8,6969,6963,3,8,94,9,1881,10,0.0,6010,2024-05-16 16:22:44
9,6976,6,8,6970,6964,3,8,94,9,1815,6,0.0,6008,2024-05-16 16:23:44
9,6978,6,8,6971,6964,3,8,94,9,1942,13,0.0,6007,2024-05-16 16:24:44
9,6977,6,8,6971,6965,3,8,94,9,1695,6,0.0,6007,2024-05-16 16:25:44
0,6975,0,0,6969,6963,1,2,100,3,0,10,0.0,6008,2024-05-16 16:26:44
0,6978,0,0,6971,6965,1,2,100,2,0,15,0.0,6007,2024-05-16 16:27:44
0,6979,0,0,6972,6966,1,2,100,2,0,14,0.0,6009,2024-05-16 16:28:44
0,6976,0,0,6970,6963,1,2,100,2,0,5,0.0,6006,2024-05-16 16:29:44
0,6978,0,0,6971,6964,1,2,100,2,0,13,0.0,6011,2024-05-16 16:30:44
9,6977,6,8,6971,6965,3,8,93,9,1814,9,0.0,6002,2024-05-16 16:31:45
9,6977,6,8,6970,6963,3,8,93,9,1732,12,0.0,6002,2024-05-16 16:32:45
9,6976,6,8,6970,6963,3,8,94,9,1887,5,0.0,6004,2024-05-16 16:33:45
13,6975,12,12,6968,6962,3,12,95,12,573,11,0.0,6006,2024-05-16 16:34:46
9,6976,6,8,6969,6962,3,8,94,9,1834,9,0.0,5998,2024-05-16 16:35:46
9,6977,7,8,6971,6964,3,8,93,9,1568,8,0.0,6007,2024-05-16 16:36:46
9,6976,6,8,6971,6965,3,8,94,9,1685,5,0.0,6004,2024-05-16 16:37:46
12,6979,11,12,6973,6967,3,11,94,12,328,13,0.0,6007,2024-05-16 16:38:47
9,6975,7,8,6968,6962,3,8,93,9,1815,5,0.0,6007,2024-05-16 16:39:47
9,6977,7,8,6970,6964,3,8,94,9,1701,8,0.0,6005,2024-05-16 16:40:47
10,6977,9,10,6971,6964,3,9,94,10,917,16,0.0,6008,2024-05-16 16:41:48
9,6976,6,8,6970,6964,3,8,94,9,1785,10,0.0,6010,2024-05-16 16:42:48
9,6976,6,8,6969,6963,3,8,94,9,1903,14,0.0,6008,2024-05-16 16:43:48
9,6977,6,8,6971,6964,3,8,94,9,1858,10,0.0,6009,2024-05-16 16:44:48
9,6977,6,8,6969,6961,3,8,94,9,1755,17,0.0,6009,2024-05-16 16:45:48
9,6978,6,8,6971,6965,3,8,94,9,1852,6,0.0,6008,2024-05-16 16:46:48
9,6975,6,8,6968,6962,3,8,94,9,1752,9,0.0,6000,2024-05-16 16:47:49
9,6975,6,8,6969,6963,3,8,94,9,1927,8,0.0,6013,2024-05-16 16:48:49
