csvTime,P4_15,P4_16
2024-05-16 16:00:47,1006,37
2024-05-16 16:01:46,994,63
2024-05-16 16:02:47,959,71
2024-05-16 16:03:47,965,76
2024-05-16 16:04:46,944,29
2024-05-16 16:05:47,961,87
2024-05-16 16:06:47,986,278
2024-05-16 16:07:47,1000,70
2024-05-16 16:08:47,997,211
2024-05-16 16:09:46,989,27
2024-05-16 16:10:47,1000,68
2024-05-16 16:11:46,1036,103
2024-05-16 16:12:47,1020,75
2024-05-16 16:13:47,972,157
2024-05-16 16:14:47,936,22
2024-05-16 16:15:47,904,21
2024-05-16 16:16:47,1008,83
2024-05-16 16:17:47,1016,0
2024-05-16 16:18:47,1036,71
2024-05-16 16:19:47,1035,0
2024-05-16 16:20:47,1041,0
2024-05-16 16:21:47,994,0
2024-05-16 16:22:47,1067,0
2024-05-16 16:23:47,1121,97
2024-05-16 16:24:47,1120,101
2024-05-16 16:25:47,1058,0
2024-05-16 16:26:46,1031,11
2024-05-16 16:27:46,1049,29
2024-05-16 16:28:47,1080,75
2024-05-16 16:29:47,1060,65
2024-05-16 16:30:47,1066,0
2024-05-16 16:31:47,1099,125
2024-05-16 16:32:46,1146,172
2024-05-16 16:33:46,1160,175
2024-05-16 16:34:47,1056,48
2024-05-16 16:35:47,1057,129
2024-05-16 16:36:46,1076,69
2024-05-16 16:37:46,1057,53
2024-05-16 16:38:46,1060,44
2024-05-16 16:39:47,1035,11
2024-05-16 16:40:46,1031,7
2024-05-16 16:41:47,1058,5
2024-05-16 16:42:47,1068,7
2024-05-16 16:43:47,1049,0
2024-05-16 16:44:47,1058,1
2024-05-16 16:45:47,1051,1
2024-05-16 16:46:46,1055,7
2024-05-16 16:47:47,1198,249
2024-05-16 16:48:46,1053,0
2024-05-16 16:49:47,1065,0
2024-05-16 16:50:47,1117,101
2024-05-16 16:51:47,1290,445
2024-05-16 16:52:47,1087,182
2024-05-16 16:53:47,1052,15
2024-05-16 16:54:47,1048,23
2024-05-16 16:55:47,1041,7
2024-05-16 16:56:46,1072,4
2024-05-16 16:57:46,1065,3
2024-05-16 16:58:47,1065,1
2024-05-16 17:00:46,1064,57
2024-05-16 17:01:47,1061,28
2024-05-16 17:02:47,1076,51
2024-05-16 17:03:46,1053,0
2024-05-16 17:04:46,1036,7
2024-05-16 17:05:47,904,10
2024-05-16 17:06:47,1080,43
2024-05-16 17:07:47,1022,0
2024-05-16 17:08:46,1073,233
2024-05-16 17:09:46,1071,121
2024-05-16 17:10:46,1049,25
2024-05-16 17:11:47,1049,23
2024-05-16 17:12:47,1051,25
2024-05-16 17:13:46,1039,17
2024-05-16 17:14:47,1039,27
2024-05-16 17:15:47,1042,21
2024-05-16 17:16:46,1049,21
2024-05-16 17:17:47,1050,23
2024-05-16 17:18:46,1050,25
2024-05-16 17:19:47,1047,25
2024-05-16 17:20:47,1047,23
2024-05-16 17:21:47,1066,0
2024-05-16 17:22:46,1175,203
2024-05-16 17:23:47,1070,8
