csvTime,P4_23,P4_24,P4_25,P4_26
2024-05-16 16:00:44,-845.0,-835.0,24.0,24.0
2024-05-16 16:01:45,-973.0,-963.0,30.0,28.0
2024-05-16 16:02:45,-915.0,-875.0,31.0,29.0
2024-05-16 16:03:45,-810.0,-988.0,30.0,30.0
2024-05-16 16:04:45,-960.0,-658.0,19.0,22.0
2024-05-16 16:05:45,-587.0,-607.0,32.0,32.0
2024-05-16 16:06:45,-402.0,-449.0,44.0,43.0
2024-05-16 16:07:45,-624.0,-612.0,31.0,31.0
2024-05-16 16:08:44,-1595.0,-1686.0,56.0,63.0
2024-05-16 16:09:44,-532.0,-585.0,24.0,26.0
2024-05-16 16:10:45,-604.0,-605.0,29.0,29.0
2024-05-16 16:11:44,-472.0,-489.0,34.0,32.0
2024-05-16 16:12:45,-524.0,-562.0,32.0,33.0
2024-05-16 16:13:45,-684.0,-661.0,39.0,37.0
2024-05-16 16:14:45,-903.0,-898.0,22.0,21.0
2024-05-16 16:15:45,-903.0,-898.0,22.0,21.0
2024-05-16 16:16:45,-442.0,-440.0,32.0,32.0
2024-05-16 16:17:45,-900.0,-799.0,0.0,1.0
2024-05-16 16:18:44,579.0,477.0,31.0,28.0
2024-05-16 16:19:45,-901.0,-899.0,0.0,1.0
2024-05-16 16:20:45,-901.0,-898.0,0.0,1.0
2024-05-16 16:21:45,-901.0,-900.0,0.0,1.0
2024-05-16 16:22:45,-901.0,-900.0,0.0,1.0
2024-05-16 16:23:45,-901.0,-900.0,34.0,33.0
2024-05-16 16:24:45,-901.0,-900.0,34.0,33.0
2024-05-16 16:25:45,-901.0,-900.0,32.0,33.0
2024-05-16 16:26:45,-901.0,-900.0,19.0,18.0
2024-05-16 16:27:45,-901.0,-900.0,23.0,23.0
2024-05-16 16:28:45,-901.0,-900.0,24.0,23.0
2024-05-16 16:29:45,-901.0,-900.0,31.0,31.0
2024-05-16 16:30:45,-901.0,-900.0,0.0,1.0
2024-05-16 16:31:45,-597.0,-597.0,36.0,36.0
2024-05-16 16:32:44,-906.0,-904.0,42.0,41.0
2024-05-16 16:33:45,-906.0,-904.0,42.0,41.0
2024-05-16 16:34:45,-222.0,-213.0,27.0,27.0
2024-05-16 16:35:45,-335.0,-330.0,37.0,36.0
2024-05-16 16:36:45,-108.0,-143.0,28.0,28.0
2024-05-16 16:37:45,337.0,332.0,28.0,28.0
2024-05-16 16:38:45,-263.0,-275.0,26.0,25.0
2024-05-16 16:39:44,-293.0,-292.0,18.0,17.0
2024-05-16 16:40:44,-90.0,-96.0,18.0,17.0
2024-05-16 16:41:44,-105.0,-90.0,15.0,15.0
2024-05-16 16:42:45,-335.0,-335.0,14.0,13.0
2024-05-16 16:43:44,-335.0,-335.0,7.0,6.0
2024-05-16 16:44:45,-335.0,-330.0,8.0,7.0
2024-05-16 16:45:44,-335.0,-330.0,8.0,7.0
2024-05-16 16:46:44,-335.0,-330.0,14.0,14.0
2024-05-16 16:47:44,-900.0,-895.0,45.0,45.0
2024-05-16 16:48:45,-900.0,-898.0,26.0,14.0
2024-05-16 16:49:45,-900.0,-896.0,0.0,1.0
2024-05-16 16:50:44,-900.0,-896.0,19.0,19.0
2024-05-16 16:51:45,-900.0,-898.0,56.0,56.0
2024-05-16 16:52:45,-335.0,-271.0,41.0,40.0
2024-05-16 16:53:45,-268.0,-301.0,31.0,31.0
2024-05-16 16:54:45,30.0,40.0,22.0,22.0
2024-05-16 16:55:45,-51.0,-49.0,16.0,15.0
2024-05-16 16:56:44,-193.0,-210.0,13.0,12.0
2024-05-16 16:57:45,-303.0,-283.0,11.0,12.0
2024-05-16 16:58:45,-50.0,-40.0,11.0,10.0
2024-05-16 16:59:44,-335.0,-332.0,16.0,15.0
2024-05-16 17:00:44,-335.0,-332.0,27.0,27.0
2024-05-16 17:01:45,2.0,-118.0,23.0,21.0
2024-05-16 17:02:45,-900.0,-895.0,27.0,27.0
2024-05-16 17:03:45,-898.0,-895.0,8.0,27.0
2024-05-16 17:04:44,-900.0,-899.0,14.0,14.0
2024-05-16 17:05:45,-900.0,-898.0,18.0,18.0
2024-05-16 17:06:45,-900.0,-899.0,27.0,27.0
2024-05-16 17:07:44,-900.0,-898.0,0.0,1.0
2024-05-16 17:08:45,-2.0,10.0,45.0,45.0
2024-05-16 17:09:44,367.0,347.0,37.0,37.0
2024-05-16 17:10:44,-4.0,-2.0,22.0,22.0
2024-05-16 17:11:45,-4.0,-2.0,22.0,22.0
2024-05-16 17:12:45,-4.0,-2.0,22.0,22.0
2024-05-16 17:13:44,301.0,297.0,22.0,22.0
2024-05-16 17:14:44,298.0,300.0,22.0,22.0
2024-05-16 17:15:44,0.0,-4.0,22.0,22.0
2024-05-16 17:16:45,85.0,96.0,22.0,22.0
2024-05-16 17:17:44,85.0,88.0,22.0,22.0
2024-05-16 17:18:45,85.0,88.0,22.0,22.0
2024-05-16 17:19:45,85.0,88.0,22.0,22.0
2024-05-16 17:20:45,-340.0,-337.0,22.0,22.0
2024-05-16 17:21:45,-900.0,262.0,0.0,6.0
2024-05-16 17:22:45,-901.0,-900.0,43.0,42.0
2024-05-16 17:23:45,-44.0,-60.0,14.0,14.0
2024-05-16 17:24:44,-335.0,-332.0,15.0,14.0
2024-05-16 17:25:45,-335.0,-332.0,13.0,12.0
2024-05-16 17:26:45,-901.0,-900.0,18.0,14.0
2024-05-16 17:27:44,-904.0,-900.0,36.0,36.0
2024-05-16 17:28:44,-900.0,-900.0,46.0,46.0
2024-05-16 17:29:45,-901.0,-898.0,35.0,31.0
2024-05-16 17:30:45,-29.0,-30.0,34.0,34.0
2024-05-16 17:31:45,-17.0,-58.0,13.0,20.0
2024-05-16 17:32:44,-50.0,-60.0,13.0,12.0
2024-05-16 17:33:45,-257.0,-207.0,9.0,9.0
2024-05-16 17:34:44,-335.0,-335.0,15.0,9.0
2024-05-16 17:35:44,-335.0,-335.0,21.0,21.0
2024-05-16 17:36:45,-335.0,-335.0,27.0,22.0
2024-05-16 17:37:44,-335.0,-335.0,30.0,29.0
2024-05-16 17:38:44,-265.0,-290.0,21.0,20.0
2024-05-16 17:39:45,-901.0,-900.0,0.0,1.0
2024-05-16 17:40:45,-901.0,-900.0,10.0,9.0
2024-05-16 17:41:45,-904.0,-900.0,44.0,40.0
2024-05-16 17:42:44,-906.0,-903.0,44.0,44.0
